Estació,UTM X,UTM Y,ID,amunt_em,nom,lat,lon
Aforament - Abrera,409650,4596023,1,no,a01,41.510745672720795,1.9173103834306455
Aforament - Anglès (riera d'Osor),469379,4645530,2,si,a02,41.961160897463806,2.6304847377638887
Aforament - Balsareny,407058,4634787,3,no,a03,41.85953632387722,1.8802181148445474
Aforament - Berga (Olvan),407241,4659812,4,no,a04,42.084907636393716,1.8784758282163043
Aforament - Boadella d'Empordà,488441,4686953,5,no,a05,42.334743214490786,2.859690503736781
Aforament - Campllong (la Gotarra),484973,4638465,6,si,a06,41.89797975986809,2.818842216400879
Aforament - Cardona (túnel),391877,4641790,7,no,a07,41.92066621699284,1.696075185420232
Aforament - Castelló d'Empúries,505939,4678023,8,no,a08,42.25438106121582,3.071999259312704
Aforament - Castellar de n'Hug (Clot del Moro),415662,4679126,9,si,a09,42.259779295082325,1.9774776608827127
Aforament - Castellar del Vallès,423447,4606714,10,si,a10,41.60846850243606,2.0812587152460806
Aforament - Castellbell i el Vilar,404933,4611165,11,no,a11,41.64656164235246,1.8583965555517743
Aforament - Castellbisbal (Assut de Salzers),410931,4593104,12,no,a12,41.48460094758759,1.9330899494874108
Aforament - Castellet i la Gornal,385564,4569143,13,si,a13,41.265610896333705,1.6338292532227858
Aforament - Cercs (riera Peguera),405869,4666588,14,si,a14,42.14576020884091,1.8607981510608929
Aforament - Cornellà del Terri,483379,4660993,15,si,a15,42.10084882268099,2.798988335610198
Aforament - Duesaigües,326845,4556670,16,si,a16,41.142879467860006,0.9367181172712196
Aforament - el Papiol (riera de Rubí),416110,4589073,17,si,a17,41.44885595217128,1.9956774228468614
Aforament - Esponellà,483371,4669513,18,si,a18,42.17758311998378,2.7986486366591574
Aforament - Fogars de la Selva (Can Simó),474545,4620839,19,si,a19,41.73895834576613,2.6938859538157014
Aforament - Fogars de la Selva (Pont Eiffel),472505,4621554,20,si,a20,41.74533032266331,2.6693208775552297
Aforament - Girona (Onyar),485464,4647022,21,si,a21,41.97505949429697,2.824550321359855
Aforament - Girona (Ter),485021,4648705,22,no,a22,41.99020939051185,2.8191604447842065
Aforament - Guardiola de Berguedà (Llobregat),406706,4674198,23,si,a23,42.21438556440438,1.86970597893888
Aforament - Guixers (Aigua de Valls),390343,4665722,24,si,a24,42.135943461755005,1.6731059734548037
Aforament - Guixers (Cardener) (Monegal),384278,4666300,25,si,a25,42.14027556463417,1.599623006982789
Aforament - Jorba,379541,4604957,26,si,a26,41.58723012535155,1.554811287696982
Aforament - la Bisbal d'Empordà (Daró),503167,4645845,27,si,a27,41.96458629316247,3.0382194697375953
Aforament - la Cellera de Ter (Pasteral I),467132,4648235,28,no,a28,41.985432991564124,2.603218760982494
Aforament - la Coma i la Pedra,382793,4670980,29,si,a29,42.182191922322914,1.5807164465858536
Aforament - la Garriga,440427,4616399,30,si,a30,41.6971444479523,2.284059329458998
Aforament - la Pobla de Claramunt,388449,4599736,31,si,a31,41.54150916755569,1.6626245016941117
Aforament - les Masies de Roda (Gurri),441180,4648214,32,si,a32,41.98373363607885,2.2899474307587506
Aforament - les Masies de Roda (Ter i Gurri),442102,4648259,33,si,a33,41.98420720544989,2.3010722233779792
Aforament - les Masies de Roda (Ter),441145,4648284,34,si,a34,41.98436144208175,2.2895179464354642
Aforament - Lliçà de Vall,437121,4604145,35,si,a35,41.58652506702126,2.2456198416807274
Aforament - Maçanet de Cabrenys (Arnera),482640,4691138,36,si,a36,42.37232574979633,2.789149216570839
Aforament - Montblanc,347766,4580851,37,si,a37,41.36478311749549,1.1798454651355086
Aforament - Montcada i Reixac (el Ripoll),432081,4593233,38,si,a38,41.48783368858466,2.1863916285463256
Aforament - Montornès del Vallès (el Mogent),438721,4599712,39,si,a39,41.54672312024292,2.265266527731736
Aforament - Montseny (la Llavina),449906,4622487,40,si,a40,41.75262983447958,2.3974580104280188
Aforament - Navès (Aigua d'Ora),388408,4651438,41,si,a41,42.00705641793814,1.652421599849801
Aforament - Olot,459542,4670840,42,si,a42,42.18866494620265,2.5100313970559163
Aforament - Peralada (Llobregat de la Muga),500722,4683552,43,si,a43,42.30419875819631,3.008759796167557
Aforament - Pont de Molins,493240,4684812,44,no,a44,42.31551753846863,2.917968379198054
Aforament - Puig-reig,407593,4643264,45,no,a45,41.93593540918402,1.8853358994675387
Aforament - QLSup(A) - Martorell (Anoia),410604,4592342,46,si,a46,41.4777020494274,1.929286623138879
Aforament - Ripoll,433448,4669209,47,si,a47,42.17219216079173,2.194229580908542
Aforament - Riudellots de la Selva (Onyar),484777,4638503,48,si,a48,41.89831826581481,2.8164783729240823
Aforament - Sallent,410024,4626764,49,si,a49,41.78762937424826,1.9171648897916471
Aforament - Sant Celoni,457467,4614412,50,si,a50,41.68034121965175,2.488976096053196
Aforament - Sant Feliu de Buixalleu (riera d'Arbúcies),466660,4623237,51,si,a51,41.760265019994826,2.598930913761887
Aforament - Sant Gregori (Ginestar de Llémena),477269,4651536,52,si,a52,42.01552138654109,2.725462811380464
Aforament - Sant Joan de les Abadesses,437546,4674665,53,si,a53,42.2216642897338,2.243255293553329
Aforament - Sant Joan Despí,420245,4578251,54,no,a54,41.35181064046884,2.046600124315967
Aforament - Sant Llorenç de la Muga,482028,4684941,55,si,a55,42.31650128708997,2.781909029828584
Aforament - Sant Quintí de Mediona,388430,4590540,56,si,a56,41.458696560997296,1.6640999549462054
Aforament - Sant Sadurní d'Anoia,398770,4588700,57,si,a57,41.44349748279111,1.7881879773732416
Aforament - Sant Vicenç dels Horts (riu - canal de la Dreta),418344,4582131,58,no,a58,41.3865647897125,2.0233559947836444
Aforament - Santa Coloma de Gramenet,433228,4589088,59,si,a59,41.450597600136255,2.200589117024059
Aforament - Santa Cristina d'Aro,498266,4629585,60,si,a60,41.81813955925727,2.979121768585236
Aforament - Santa Llogaia d'Àlguema (riu Manol),497447,4676178,61,si,a61,42.237782899309316,2.9690577647298344
Aforament - Santa Perpètua de Mogoda,433061,4597081,62,si,a62,41.52257337484075,2.1977023021093336
Aforament - Súria,397233,4629811,63,no,a63,41.81351334928778,1.7627335806799829
Aforament - Serinyà,477746,4668642,64,si,a64,42.169598882263415,2.7305725561349243
Aforament - Serra de Daró (riu Daró),505857,4652675,65,si,a65,42.02608644086827,3.070750566204822
Aforament - Tarragona,351999,4556773,66,si,a66,41.14878499765399,1.2362761177358217
Aforament - Torelló (Ges),439144,4655539,67,si,a67,42.04954720576699,2.264611899980067
Aforament - Torroella de Montgrí (Pont de Torroella),510378,4653688,68,no,a68,42.03516347145325,3.12538053665354
Aforament - Tortellà - Llierca,467366,4677351,69,si,a69,42.24766927577185,2.604416067848893
Aforament - Vilabella,360657,4566063,70,si,a70,41.23396684200907,1.3372948598780876
Aforament - Vilada (Merdançol),412493,4664696,71,si,a71,42.129490829798655,1.941233913283397
Aforament - Vilada (Riera Vilada),412353,4665951,72,si,a72,42.14077634888347,1.939351733423559
Aforament - Vilanova de Sau (riera Major),452148,4645978,73,si,a73,41.96433821389154,2.4225236351270736
